Movie Name,Rating,Year,Director,Writers,User Reviews,Genre,Summary,URL,Genre List,Cast 1,Cast 2
Roja,8.3,2023,Vetrimaaran,Jayamohan,73,Action,A police officer is recruited to capture the leader of a separatist group.,https://www.imdb.com/title/tt11396310/?ref_=fea_eds_center-3_IndiaTop250_133,"Action, Crime, Drama",Soori,Vijay Sethupathi
Viduthalai: Part 1,8.0,2006,Vishal Bhardwaj,Vishal Bhardwaj,94,Action,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,https://www.imdb.com/title/tt0488414/?ref_=fea_eds_center-3_IndiaTop250_134,"Action, Crime, Drama",Ajay Devgn,Kareena Kapoor
Omkara,8.1,1995,Mani Ratnam,Mani Ratnam,39,Drama,"A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the f... Read all",https://www.imdb.com/title/tt0112553/?ref_=fea_eds_center-3_IndiaTop250_135,"Drama, Romance",Arvind Swamy,Manisha Koirala
Bombay,8.1,2019,Ajay Bahl,Manish Gupta,234,Crime,"A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence.",https://www.imdb.com/title/tt8144834/?ref_=fea_eds_center-3_IndiaTop250_136,"Crime, Drama, Mystery",Akshaye Khanna,Richa Chadha
Section 375,8.1,1996,S. Shankar,S. Shankar,26,Action,A veteran freedom fighter enraged with the rising crime and corruption in the society murders all the wrong doers one by one using an ancient martial arts technique.,https://www.imdb.com/title/tt0116630/?ref_=fea_eds_center-3_IndiaTop250_137,"Action, Drama, Thriller",Kamal Haasan,Sukanya
Indian,8.2,1999,K.S. Ravikumar,K.S. Ravikumar,10,Action,"The death of Padaiyappa's father destroys his family. But his luck changes, and he is able to lead a prosperous life, until his nemesis plots to ruin his happiness once more.",https://www.imdb.com/title/tt0213969/?ref_=fea_eds_center-3_IndiaTop250_138,"Action, Comedy, Drama",Shivaji Ganesan,Rajinikanth
Padaiyappa,8.2,2008,Gautham Vasudev Menon,Meghana Karthik,59,Action,"A father and son help each other through growing up, romance, tragedy, and adventure.",https://www.imdb.com/title/tt1180583/?ref_=fea_eds_center-3_IndiaTop250_139,"Action, Drama, Musical",Suriya,Simran
Vaaranam Aayiram,8.2,2018,Prashanth Neel,M Chandramouli,1.3K,Action,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.",https://www.imdb.com/title/tt7838252/?ref_=fea_eds_center-3_IndiaTop250_140,"Action, Crime, Drama",Yash,Srinidhi Shetty
K.G.F: Chapter 1,8.0,1995,Aditya Chopra,Aditya Chopra,184,Drama,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",https://www.imdb.com/title/tt0112870/?ref_=fea_eds_center-3_IndiaTop250_141,"Drama, Romance",Shah Rukh Khan,Kajol
Dilwale Dulhania Le Jayenge,8.2,2018,Sukumar,Sukumar,195,Action,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,https://www.imdb.com/title/tt7392212/?ref_=fea_eds_center-3_IndiaTop250_142,"Action, Drama",Ram Charan,Samantha Ruth Prabhu
Rangasthalam,8.2,2005,Trivikram Srinivas,Trivikram Srinivas,36,Action,"A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",https://www.imdb.com/title/tt0471571/?ref_=fea_eds_center-3_IndiaTop250_143,"Action, Crime, Drama",Mahesh Babu,Trisha Krishnan
Athadu,8.1,1960,K. Asif,K. Asif,46,Drama,A 16th century prince falls in love with a court dancer and battles with his emperor father.,https://www.imdb.com/title/tt0054098/?ref_=fea_eds_center-3_IndiaTop250_144,"Drama, Romance, War",Prithviraj Kapoor,Madhubala
Mughal-E-Azam,8.0,1994,Rajkumar Santoshi,Rajkumar Santoshi,138,Action,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,https://www.imdb.com/title/tt0109117/?ref_=fea_eds_center-3_IndiaTop250_145,"Action, Comedy, Romance",Aamir Khan,Salman Khan
Andaz Apna Apna,8.1,2019,Magizh Thirumeni,Magizh Thirumeni,94,Action,The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.,https://www.imdb.com/title/tt7822438/?ref_=fea_eds_center-3_IndiaTop250_146,"Action, Crime, Drama",Arun Vijay,Tanya Hope
Thadam,8.0,2014,Vishal Bhardwaj,William Shakespeare,284,Action,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",https://www.imdb.com/title/tt3390572/?ref_=fea_eds_center-3_IndiaTop250_147,"Action, Crime, Drama",Shahid Kapoor,Tabu
Haider,8.1,2021,Jeo Baby,Jeo Baby,267,Comedy,"After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be. The story follows her journey, as she changes herself and, even more so, changes... Read all",https://www.imdb.com/title/tt13299890/?ref_=fea_eds_center-3_IndiaTop250_148,"Comedy, Drama",Nimisha Sajayan,Suraj Venjaramoodu
The Great Indian Kitchen,8.2,2023,Shouryuv,Vamshi Bommena,157,Drama,A single father begins to narrate the story of the missing mother to his child and nothing remains the same.,https://www.imdb.com/title/tt25433734/?ref_=fea_eds_center-3_IndiaTop250_149,"Drama, Family, Romance",Nani,Mrunal Thakur
Hi Nanna,8.2,2016,Tharun Bhascker Dhaassyam,Tharun Bhascker Dhaassyam,25,Comedy,A wannabe businesswoman and a happy-go-lucky guy meet each other during an arranged marriage blind date but eventually team up to start a food truck on their own.,https://www.imdb.com/title/tt5824826/?ref_=fea_eds_center-3_IndiaTop250_150,"Comedy, Drama, Romance",Abhay Bethiganti,Keshav Deepak
Pelli Choopulu,8.2,2022,Rishab Shetty,Manish Bhavan,1.2K,Action,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",https://www.imdb.com/title/tt15327088/?ref_=fea_eds_center-3_IndiaTop250_151,"Action, Adventure, Drama",Rishab Shetty,Kishore Kumar G.
Kantara,8.0,2013,Neeraj Pandey,Neeraj Pandey,148,Crime,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,https://www.imdb.com/title/tt2377938/?ref_=fea_eds_center-3_IndiaTop250_152,"Crime, Drama, Thriller",Akshay Kumar,Anupam Kher
Special 26,8.2,2023,S.U. Arun Kumar,S.U. Arun Kumar,51,Drama,"A man is raising his niece like his own daughter, and everything appears normal in their life until the little girl goes missing.",https://www.imdb.com/title/tt27540185/?ref_=fea_eds_center-3_IndiaTop250_153,"Drama, Thriller",Siddharth,Sahasra Sree
Chithha,8.0,2003,Vishal Bhardwaj,Abbas Tyrewala,44,Crime,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,https://www.imdb.com/title/tt0379370/?ref_=fea_eds_center-3_IndiaTop250_154,"Crime, Drama, Thriller",Irrfan Khan,Tabu
Maqbool,8.2,2021,Venkat Prabhu,Venkat Prabhu,287,Action,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.",https://www.imdb.com/title/tt4983780/?ref_=fea_eds_center-3_IndiaTop250_155,"Action, Adventure, Sci-Fi",Silambarasan Rajendar,S.J. Suryah
Maanaadu,8.4,2014,Rakshit Shetty,Rakshit Shetty,71,Crime,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it.",https://www.imdb.com/title/tt3394420/?ref_=fea_eds_center-3_IndiaTop250_156,"Crime, Drama, Thriller",Rakshit Shetty,Rishab Shetty
Ulidavaru Kandanthe,8.0,2009,Anurag Kashyap,Raj Singh Chaudhary,71,Crime,"A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college.",https://www.imdb.com/title/tt1261047/?ref_=fea_eds_center-3_IndiaTop250_157,"Crime, Drama, Thriller",Kay Kay Menon,Raj Singh Chaudhary
Gulaal,8.0,2023,Apoorv Singh Karki,Deepak Kingrani,371,Crime,A common man with honesty and integrity can take on the system when he has truth on his side.,https://www.imdb.com/title/tt24485052/?ref_=fea_eds_center-3_IndiaTop250_158,"Crime, Drama, Thriller",Manoj Bajpayee,Adrija Sinha
